# Head To Head
# Battle Begins: May 6th, 12am
# Battle Ends: May 6th, 11pm
# Entry Fee: $15
# Battle Hash: a74b20400e2120f8d2e6bb06f74091aaa9bc1b9cc5470c4158b0d6ebff33e422
historical,points,airport,city,forecast
24.57,7900.0,KRTN,"Raton, NM",19.007
20.0,7600.0,KFLG,"Flagstaff, AZ",19.007
19.14,7500.0,KSEZ,"Sedona, AZ",19.007
20.43,7300.0,KSAF,"Santa Fe, NM",18.007
18.14,6500.0,KMAF,"Midland, TX",16.007
25.57,6400.0,KSNY,"Sidney, NE",14.007
13.29,6100.0,KNYL,"Yuma Mcas, AZ",16.007
23.57,6000.0,KPUB,"Pueblo, CO",13.007
18.86,5900.0,KDAL,"Dallas, TX",14.007
15.14,5600.0,KNGU,"Norfolk, VA",14.007
19.57,5600.0,KSFO,"San Francisco, CA",13.007
24.71,4800.0,KGJT,"Grand Junction, CO",9.007
14.57,4600.0,KBUF,"Buffalo, NY",11.007
24.43,4400.0,KGTF,"Great Falls, MT",8.007
19.29,4400.0,KABR,"Aberdeen, SD",9.007
14.14,4300.0,KRDD,"Redding, CA",10.007
13.43,4200.0,KSAN,"San Diego, CA",10.007
16.57,4100.0,KDSM,"Des Moines, IA",9.007
19.43,4100.0,KJEF,"Jefferson City, MO",8.007
14.57,4000.0,KERI,"Erie, PA",9.007
22.14,4000.0,KBIL,"Billings, MT",7.007
17.29,3900.0,KGRB,"Green Bay, WI",8.007
17.43,3900.0,KBIS,"Bismarck, ND",8.007
12.57,3800.0,KBTV,"Burlington, VT",9.007
16.43,3800.0,KPAH,"Paducah, KY",8.007
19.86,3800.0,KLLJ,"Challis, ID",7.007
16.0,3800.0,KMSP,"Minneapolis, MN",8.007
16.0,3800.0,KLUK,"Cincinnati, OH",8.007
19.14,3700.0,KBKL,"Cleveland, OH",7.007
14.0,3600.0,KBWI,"Baltimore, MD",8.007
18.29,3600.0,KMEM,"Memphis, TN",7.007
11.86,3500.0,KCHO,"Charlottesville, VA",8.007
11.43,3400.0,KMPV,"Montpelier, VT",8.007
14.0,3300.0,KSCK,"Stockton, CA",7.007
12.43,3200.0,KBGM,"Binghamton, NY",7.007
12.29,3200.0,KMFR,"Medford, OR",7.007
15.43,3100.0,KSLE,"Salem, OR",6.007
12.86,2900.0,KFAT,"Fresno, CA",6.007
14.86,2700.0,KCHA,"Chattanooga, TN",5.007
10.71,1800.0,KCON,"Concord, NH",3.007
